centris_no,url,area,address,city,province,property_type,price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,year_built,parking,latitude,longitude,description,scraped_at
27553675,https://www.centris.ca/fr/triplex~a-vendre~montreal-villeray-saint-michel-parc-extension/27553675,Montréal (Île),"8202 - 8206, Rue Saint-Gérard",Montréal (Villeray/Saint-Michel/Parc-Extension),QC,Triplex à vendre,1199000,,,1,,1932,,45.54466,-73.63007,"**Localisation de rêve sur une des plus belles rue de Villeray: St-Gérard!!! Situé à 1 minute du Métro Jarry !!! Magnifique Triplex rénové en très bonne partie avec un sous-sol complètement fini! 4 chambres et 2 salles de bains, 1100 pieds carrés plus sous-sol. 2 x 41/2 à l'étage, Immeuble tout loué. Une belle d'époque remplie de cachet, boiseries, moulures et plafonds hauts, Coup de coeur assuré ici!!! Quartier unique à proximité de littéralement tout à pied, suite Addenda...",2026-05-22T16:09:10
24673971,https://www.centris.ca/fr/condo~a-vendre~montreal-le-plateau-mont-royal/24673971,Montréal (Île),"2127, boulevard Saint-Joseph Est",Montréal (Le Plateau-Mont-Royal),QC,Condo à vendre,479000,,,848,,1924,,45.537948,-73.577308,"Superbe condo rénové d'environ 850 pi² situé sur le Plateau Mont-Royal, au 2e étage d'un triplex en copropriété indivise. Offrant 2 chambres, un salon double polyvalent pouvant servir de salle à manger ou de 3e chambre, et une belle luminosité. Cuisine rénovée conviviale avec électroménagers inclus, laveuse-sécheuse dans l'unité. Salle de bain moderne avec bain profond. Deux balcons, dont un à l'arrière avec vue sur une ruelle verte paisible. Planchers de bois franc, chauffages Convectair et rangement. Petite copropriété avec frais de 125$/mois.",2026-05-22T16:09:10
21851617,https://www.centris.ca/fr/maison~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/21851617,Montréal (Île),"4097, Avenue Madison",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),QC,Maison à vendre,1898000,,,2,,1910,,45.466854,-73.626899,"Bienvenue au 4097, av Madison, au coeur du quartier de Monkland,où l'élégance intemporelle rencontre le luxe moderne. Cette maison entièrement rénovée, comprenant 4 chambres à coucher et une chambre d'amis ainsi que 3 SDB & salle d'eau, offre une expérience de vie exceptionnelle, baignée de soleil a été entretenue avec soin par ses propriétaires sur 3 niveaux. Elle se distingue par de magnifiques parquets et les hauts plafonds,et ainsi qu'une cour orienté a l'est, conçue avec le souci du moindre détail, elle allie à la perfection des finitions modernes et de charmants éléments d'époque, une vi",2026-05-22T16:09:10
27535023,https://www.centris.ca/fr/condo~a-vendre~cote-saint-luc/27535023,Montréal (Île),"5845, Avenue Marc-Chagall, app. 502",Côte-Saint-Luc,QC,Condo à vendre,939000,,,1,,2005,,45.479991,-73.662693,"Découvrez le style de vie raffiné de La Marquise, l'un des immeubles les plus prestigieux de Côte-Saint-Luc. Ce superbe condo d'angle clé en main, rénové avec soin, offre 3 chambres à coucher, 2 salles de bains complètes et plus de 1 500 pi² d'espace de vie. La disposition à aire ouverte du salon et de la salle à manger, combinée à son emplacement privilégié, procure une abondance de lumière naturelle et une atmosphère conviviale. La propriété comprend également 2 espaces de stationnement intérieur et un espace de rangement, ajoutant à la commodité au quotidien. Une opportunité clé en main dan",2026-05-22T16:09:10
20976788,https://www.centris.ca/fr/maison~a-vendre~montreal-outremont/20976788,Montréal (Île),"5510, Avenue Durocher",Montréal (Outremont),QC,Maison à vendre,1595000,,,2,,1908,,45.520466,-73.603086,"Spacieuse maison au cachet d'époque située à Outremont, où les boiseries et moulures d'origine témoignent d'un raffinement intemporel. Elle offre 4 chambres à l'étage, de vastes espaces de vie et une grande cour, offrant un bel espace extérieur. Son emplacement est privilégié, à proximité des écoles réputées, des parcs, ainsi que des commerces et restaurants des avenues Bernard et Van Horne, et bien desservi par les transports en commun. Cette demeure allie élégance et confort, offrant un cadre de vie unique dans un quartier prisé, avec la possibilité de l'aménager à votre goût. Idéale pour un",2026-05-22T16:09:10
26605005,https://www.centris.ca/fr/condo~a-vendre~montreal-le-plateau-mont-royal/26605005,Montréal (Île),"385, Avenue du Mont-Royal Ouest, app. 005",Montréal (Le Plateau-Mont-Royal),QC,Condo à vendre,299000,,,555,,1983,,45.51655,-73.5899,"LOFT D'EXCEPTION AU COEUR DU PLATEAU Vivez le Plateau Mont-Royal dans toute sa splendeur avec ce magnifique loft situé en face du parc du Mont-Royal, dans l'un des quartiers les plus prisés de Montréal. Offrant une ambiance urbaine et chaleureuse, ce loft se distingue par sa lumière abondante, et son espace de vie à aire ouverte idéal pour recevoir ou pour créer un lieu de travail inspirant à la maison. À quelques pas des cafés, restos, boutiques locales et des sentiers du parc, cet emplacement est imbattable pour les amateurs de nature, de culture et de vie de quartier.",2026-05-22T16:09:10
11141612,https://www.centris.ca/fr/condo~a-vendre~montreal-mercier-hochelaga-maisonneuve/11141612,Montréal (Île),"4722, Rue Sainte-Catherine Est, app. 23",Montréal (Mercier/Hochelaga-Maisonneuve),QC,Condo à vendre,523900,,,990,,2021,,45.55492607,-73.53112436,"Joli condominium de 990 pc sur deux étages + un accès direct à la terrasse sur le toit. Copropriété indivise. Le financement possible directement avec le vendeur (il y a des conditions). La propriété comprend deux chambres à coucher fermées et une grande salle de bain complète sur le même niveau. Au premier étage, une salle d'eau, cuisine salle à manger et un salon à aire ouverte. Les espaces de stationnements et de rangements intérieures (sous-sol) ne sont pas inclus, possibilité de louer ou d'acheter directement du vendeur. Visite avec preuve de pré-autorisation hypothécaire en vigueur oblig",2026-05-22T16:09:10
11069706,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/11069706,Montréal (Île),"1616, Rue des Bassins, app. 624",Montréal (Le Sud-Ouest),QC,Condo à vendre,699000,,,757,,2021,,45.48822483,-73.56376093,"Loué jusqu'au 30 Juin 2027 à $2,700 par mois. Bienvenue au condo de luxe Charlotte à Grinffintown, c'est rare dans le secteur qui est entouré de deux parcs et directement face au canal. Unité de deux chambres et deux salles de bain avec deux balcons privés séparés! 1 casier et 1 stationnement intérieur sont inclus.",2026-05-22T16:09:10
9954908,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/9954908,Montréal (Île),"1188, Rue Saint-Antoine Ouest, app. 4304",Montréal (Ville-Marie),QC,Condo à vendre,888000,,,945,,2019,,45.49589328,-73.56772472,"Perché au 43e étage dans le meilleur coin de la Tour des Canadiens 2, ce condo offre une vue spectaculaire sur l'ouest de Montréal et des couchers de soleil mémorables. Lumineux grâce à ses fenêtres pleine hauteur, l'espace de vie ouvert maximise le confort et l'élégance. Profitez des installations haut de gamme : piscine, spa, sauna, salle d'entraînement, terrasse panoramique et concierge 24/7. Idéalement situé près des restaurants, commerces et transports.",2026-05-22T16:09:10
10737581,https://www.centris.ca/fr/quadruplex~a-vendre~montreal-le-plateau-mont-royal/10737581,Montréal (Île),"2120 - 2124, Avenue du Mont-Royal Est",Montréal (Le Plateau-Mont-Royal),QC,Quadruplex à vendre,1078800,,,2,,1920,,45.535429,-73.57194,"Opportunité Ave Mont-Royal. Immeuble semi-commercial de 4 unités: deux locaux commerciaux et deux logements résidentiel plus un vaste garage double à l'arrière. L'immeuble occupe 100% de la superficie du lot.Localisation de choix sur une rue commerciale reconnue du Plateau. Transport en commun, services et commerces de proximité à votre porte. Revenus locatifs intéressants avec potentiel de croissance.",2026-05-22T16:09:10
21124901,https://www.centris.ca/fr/maison~a-vendre~westmount/21124901,Montréal (Île),"49, Chemin Belvedere",Westmount,QC,Maison à vendre,3885000,,,10,,1912,,45.492265,-73.60101,"Nichée au sommet de la montagne, cette résidence impeccable incarne l'adage ""Location! Location! Location!"" avec une note parfaite de 10/10. La terrasse attenante à la cuisine et à la salle à manger offre une vue imprenable sur le centre-ville et la rivière. L'imposante stature de cette spacieuse demeure est attrayante, tandis que les vastes pièces bien aménagées invitent à un confort accueillant. Méticuleusement entretenu, ce trésor offre un havre idyllique pour la vie de famille, incarnant un fin mélange d'élégance et de fonctionnalité dans un cadre prestigieux.",2026-05-22T16:09:10
